需求ID,需求名称,需求描述,需求来源,用户选择率,关联痛点,优先级,功能模块,实现难度,MVP是否包含,备注
REQ-001,按预算推荐目的地和行程,用户输入预算金额、出行天数、出发地，系统自动推荐符合预算的目的地和完整行程方案，包含交通、住宿、餐饮、门票等各项花费明细,问卷Q16(32.0%选择) + 访谈9/12提及,32.0%,缺少学生视角的预算参考、没有现成行程模板,P0,智能推荐,高,是,核心差异化功能，学生预算区间200-1000元为主
REQ-002,现成学生党行程模板,提供按目的地、天数、风格（暴走型/休闲型/美食型/拍照型）分类的行程模板，用户可直接使用或一键微调，模板包含详细时间安排、花费明细、交通方式,问卷Q16(30.0%选择) + 访谈8/12提及,30.0%,没有现成行程模板、做攻略太费时间,P0,行程模板,中,是,MVP先覆盖10个热门目的地，每个目的地3-5套模板
REQ-003,小众目的地种草,挖掘人少、便宜、适合学生的小众目的地，提供深度攻略，包含最新交通信息、开放状态、真实花费、避坑提醒,问卷Q16(25.0%选择) + 访谈5/12提及,25.0%,小众目的地信息太少、攻略质量差,P0,内容种草,中,是,内容差异化核心，需保证信息时效性
REQ-004,交通接驳指南,提供从高铁站/机场/汽车站到景区、酒店的详细交通接驳方案，包含公交/地铁/打车的路线、费用、耗时、运营时间，标注易踩坑点,问卷Q16(20.0%选择) + 访谈4/12提及,20.0%,交通接驳信息不清晰,P0,交通指南,中,是,可整合到行程模板中，作为独立模块展示
REQ-005,当地美食红黑榜,基于学生真实评价的当地美食红黑榜，标注人均、必点菜、排队时间、踩雷提醒，区分网红店和本地人常去的店，拒绝广告,问卷Q16(18.0%选择) + 访谈3/12提及,18.0%,美食探店容易踩雷、攻略广告多,P0,美食推荐,中,是,信任是核心，需建立真实评价机制
REQ-006,住宿区域推荐,按预算、出行目的、交通便利性推荐住宿区域，标注各区域优缺点、平均价格、到主要景点的距离，区分酒店/民宿/青旅,问卷Q16(12.0%选择) + 访谈3/12提及,12.0%,住宿选择困难,P1,住宿推荐,中,否,可在行程模板中包含住宿建议，独立功能后续迭代
REQ-007,实时避坑提醒,出行前和出行中推送实时提醒，包含景区人流、天气变化、交通延误、临时闭园、排队时间等，帮助用户及时调整行程,问卷Q16(15.0%选择) + 访谈2/12提及,15.0%,信息时效性差、人流痛苦,P1,实时提醒,高,否,依赖第三方数据接口，MVP阶段可手动更新重要提醒
REQ-008,出行搭子匹配,基于同校验证、目的地、出行时间、兴趣标签匹配出行搭子，支持拼房、拼车、拼饭，包含实名认证、评价体系保障安全,问卷Q16(10.0%选择) + 访谈2/12提及,10.0%,一人出行难拼车/找搭子、安全顾虑,P1,社交匹配,高,否,安全是核心门槛，需同校验证+实名认证+评价体系
REQ-009,行程共享与协同编辑,支持多人共同编辑行程，实时同步，包含投票决策、费用分摊、任务分工等功能，适合情侣、室友、班级团体出行,问卷Q16(8.0%选择) + 访谈3/12提及,8.0%,群体决策困难、意见不统一,P1,协同编辑,高,否,群体出行场景的核心功能，依赖用户量基础
REQ-010,旅行记账与AA分摊,出行中实时记账，支持多人AA分摊自动计算，按类别统计花费，出行结束后生成花费报告，支持导出,问卷Q16(6.0%选择) + 访谈2/12提及,6.0%,预算超支、AA算账麻烦,P2,记账工具,低,否,工具属性强，可作为附加功能提升留存
REQ-011,学生优惠信息聚合,汇总各景点、交通、餐饮的学生优惠信息，包含优惠力度、所需证件、使用规则，出行前自动提醒可使用的优惠,访谈3/12提及 + 开放题反馈,—,不知道有学生优惠、预算有限,P2,优惠聚合,低,否,低预算群体的强需求，可作为内容模块
REQ-012,拍照机位与穿搭建议,标注各景点的最佳拍照机位、最佳拍照时间、推荐穿搭，提供拍照姿势参考，适合喜欢拍照的用户,访谈2/12提及 + 艺术类用户反馈,—,找不到拍照机位、不知道怎么穿,P2,拍照指南,低,否,垂直细分需求，可作为内容标签
REQ-013,旅行内容生产工具,提供旅行照片修图模板、vlog剪辑模板、小红书文案生成，帮助用户快速产出旅行内容并分享,访谈1/12提及 + 开放题反馈,—,修图剪辑太费时间,P2,内容工具,中,否,可促进UGC内容生产，形成内容闭环
REQ-014,毕业旅行专题,针对毕业季的专题内容，包含不同预算的毕业旅行方案、多人协同规划、班级团体出行攻略、纪念册制作,访谈1/12提及 + 大四学生反馈,—,毕业旅行组织困难,P2,专题运营,低,否,季节性强需求，可作为运营活动
